id,nome_prodotto,categoria,prezzo,tacco,taglie,colore,link
idp21594,Zeppa 3326,Zeppe,95.00 €,4,35 36 37 38 39 40 41,Marrone,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3326-idp21594.html
idp20615,Zeppa L3402,Zeppe,74.90 €,6,40 41,Oro,https://www.kammi.it/scarpe-donna/zeppe/zeppa-l3402-idp20615.html
idp20566,Zeppa 100,Zeppe,49.90 €,7,35 36 38,Rosso,https://www.kammi.it/scarpe-donna/zeppe/zeppa-100-idp20566.html
idp21643,Zeppa 340,Zeppe,69.90 €,5,35 36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-340-idp21643.html
idp21608,Zeppa 902,Zeppe,69.90 €,5,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-902-idp21608.html
idp21636,Zeppa 9005,Zeppe,89.90 €,5,37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-9005-idp21636.html
idp21639,Zeppa 3462,Zeppe,69.90 €,4,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3462-idp21639.html
idp21593,Zeppa 3326,Zeppe,95.00 €,4,35 37 38 39 40 41,Arancione,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3326-idp21593.html
idp21627,Zeppa 3352,Zeppe,99.90 €,7,36 37 38 39 40 41,Arancione,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3352-idp21627.html
idp20564,Zeppa 100,Zeppe,49.90 €,7,37 38 39 40 41,Bianco,https://www.kammi.it/scarpe-donna/zeppe/zeppa-100-idp20564.html
idp20573,Zeppa 5700,Zeppe,79.90 €,5,35 36 37 38 40,Bianco,https://www.kammi.it/scarpe-donna/zeppe/zeppa-5700-idp20573.html
idp20616,Zeppa 102,Zeppe,69.90 €,9,36 39 40,Marrone,https://www.kammi.it/scarpe-donna/zeppe/zeppa-102-idp20616.html
idp20609,Zeppa 5700,Zeppe,79.90 €,5,37 38 39 40 41,Marrone,https://www.kammi.it/scarpe-donna/zeppe/zeppa-5700-idp20609.html
idp20565,Zeppa 100,Zeppe,49.90 €,7,37 38 39 40,Nero,https://www.kammi.it/scarpe-donna/zeppe/zeppa-100-idp20565.html
idp20610,Zeppa 1610,Zeppe,79.90 €,4,36 37 38 39,Nero,https://www.kammi.it/scarpe-donna/zeppe/zeppa-1610-idp20610.html
idp21357,Tronchetto 6022,Stivali Stivaletti,139.00 €,7,35 37 38 39 40,Oro,https://www.kammi.it/scarpe-donna/stivali-stivaletti/tronchetto/tronchetto-6022-idp21357.html
idp21395,Sneakers 23036,Sneakers,79.90 €,4,36 39 40 41,-,https://www.kammi.it/scarpe-donna/sneakers/sneakers-23036-idp21395.html
idp21526,Sneaker Nina,Sneakers,109.00 €,0,37 38 39 41,-,https://www.kammi.it/scarpe-donna/sneakers/sneaker-nina-idp21526.html
idp20865,Sneakers 9040,Sneakers,79.90 €,0,36 37,Arancione,https://www.kammi.it/scarpe-donna/sneakers/sneakers-9040-idp20865.html
idp21550,Sneakers 82066,Sneakers,105.00 €,0,36 37 38 39 40,Bianco,https://www.kammi.it/scarpe-donna/sneakers/sneakers-82066-idp21550.html
idp20462,Sneakers 9040,Sneakers,79.90 €,0,36 39,Bianco,https://www.kammi.it/scarpe-donna/sneakers/sneakers-9040-idp20462.html
idp20899,Sneakers 23039,Sneakers,89.90 €,0,35 36,Bianco,https://www.kammi.it/scarpe-donna/sneakers/sneakers-23039-idp20899.html
idp20461,Sneakers 8100,Sneakers,95.00 €,0,38 39 40 41,Bianco,https://www.kammi.it/scarpe-donna/sneakers/sneakers-8100-idp20461.html
idp20866,Sneakers 9040,Sneakers,79.90 €,0,36 37 38 39 41,Celeste,https://www.kammi.it/scarpe-donna/sneakers/sneakers-9040-idp20866.html
idp20459,Sneakers 23180,Sneakers,89.90 €,0,35 36 37 38 40 41,Marrone,https://www.kammi.it/scarpe-donna/sneakers/sneakers-23180-idp20459.html
idp21548,Sneakers 8100,Sneakers,95.00 €,0,36 37 38 39 40 41,Nero,https://www.kammi.it/scarpe-donna/sneakers/sneakers-8100-idp21548.html
idp20903,Sneakers 23039,Sneakers,89.90 €,0,36 37 38 39 40 41,Nero,https://www.kammi.it/scarpe-donna/sneakers/sneakers-23039-idp20903.html
idp20477,Sneakers 23180,Sneakers,89.90 €,0,36,Nero,https://www.kammi.it/scarpe-donna/sneakers/sneakers-23180-idp20477.html
idp21549,Sneakers 8100,Sneakers,95.00 €,0,36 37 38 39 40,Rosa,https://www.kammi.it/scarpe-donna/sneakers/sneakers-8100-idp21549.html
idp21551,Sneakers 82066,Sneakers,105.00 €,0,35 36 37 38 39 40,Verde,https://www.kammi.it/scarpe-donna/sneakers/sneakers-82066-idp21551.html
idp21571,Scarpa con tacco 1007,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Viola,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/scarpa-con-tacco-1007-idp21571.html
idp21571,Scarpa con tacco 1007,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Viola,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/scarpa-con-tacco-1007-idp21571.html
idp21571,Scarpa con tacco 1007,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Viola,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/scarpa-con-tacco-1007-idp21571.html
idp21571,Scarpa con tacco 1007,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Viola,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/scarpa-con-tacco-1007-idp21571.html
idp21571,Scarpa con tacco 1007,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Viola,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/scarpa-con-tacco-1007-idp21571.html
idp21581,Slingback M051 charm,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Oro,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-m051-charm-idp21581.html
idp21581,Slingback M051 charm,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Oro,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-m051-charm-idp21581.html
idp21581,Slingback M051 charm,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Oro,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-m051-charm-idp21581.html
idp21581,Slingback M051 charm,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Oro,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-m051-charm-idp21581.html
idp21581,Slingback M051 charm,Scarpe Con Tacco,85.00 €,7,36 37 38 39 40,Oro,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-m051-charm-idp21581.html
idp21514,Slingback 1174,Scarpe Con Tacco,119.00 €,45,38 39 41,-,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-1174-idp21514.html
idp21541,Slingback 3005,Scarpe Con Tacco,95.00 €,6,35 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-3005-idp21541.html
idp21544,Slingback 3004,Scarpe Con Tacco,95.00 €,6,35 37 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-3004-idp21544.html
